干货分享 | 哪个调子的口琴最“蓝”？,2021-07-10,
开票 7/17 MOJOHAND | 283天52城60场巡演 北京收官,2021-06-23,2014年夏天 在江湖酒吧开启由MOJOHAND作为领衔乐队的每周日Blues Jam Session活动； 2015年5月18日 纪念布鲁斯之王B.B. King江湖酒吧专场； 2015年6月24日 “永远的蓝调之王—B.B.King”麻雀瓦舍纪念专场； 2015年10月3日 “以SRV的名义~致敬Stevie Ray Vaughan”凹俱乐部专场； 2015年12月12日 菊田俊介&MOJOHAND江湖酒吧专场； 2015年12月15日 北京现代音乐学院蓝调教学交流大师课； 2015年12月16日 北京迷笛音乐学校蓝调教学交流大师课； 2015年12月18日 菊田俊介&MOJOHAND天津派专场； 2015年12月19日 麻雀瓦舍——江湖九周年蓝调音乐节； 2016年11月19日 天津智慧山艺术中心Ariyo&MOJOHAND Blues专场； 2016年11月26日 包头“范儿酒吧”Blues专场； 2016年12月2日 北京“樂空间”“MOJOHAND乐队和朋友”专场； 2017年5月30日 北京乐谷“华录音乐节”； 2017年8月 广西巡演：南宁－柳州－桂林； 2017年12月24日 北京“江湖酒吧”平安夜专场； 2018年初，MOJOHAND作为全程暖场乐队，随同美国芝加哥蓝调传奇口琴大师三届格莱美奖提名－Billy Branch及其乐队队长－已入驻芝加哥蓝调名人堂的日裔蓝调钢琴大师有吉须美人(Sumito AriyoAriyoshi)，在北京（乐空间；疆进酒LiveHouse），上海（JZ Club；CHAIR），天津（卓扬空间），杭州（酒球会）成功完成七场“Billy Branch首次中国巡演”； 2018年1月28日应享誉世界的爵士俱乐部Blue Note之邀，在北京Blue Note举办专场； 2018年3月16日 清华大学“新清华学堂实验剧场”Blues专场； 2018年5月12日 北京BSPLivehouse 芝加哥Blues专场； 2018年9月16日 北京来福现场“HiBlues”北京蓝调音乐节； 2018年9月25日 北京＋Song酒吧“芝加哥旅游局Blues之夜”； 2018年10月2日 北戴河阿那亚“DDC国际音乐周”； 2018年10月4/5日 再登“BlueNote Beijing“，担任“蓝调震撼－Billy Branch &Ariyo 芝加哥之夜”暖场乐队； 2018年11月19日 MOJOHAND原创单曲《黑蓝作坊》《Star》《老吴歌》入选网易云音乐“石头计划”； 2018年12月 MOJOHAND首张专辑《黑蓝作坊》发行，开创国内Blues经典翻唱专辑先河，12月29日在北京“乐空间”成功举办专辑首发专场； 2019年3月15日 再赴清华大学举办Blues专场； 2019年6月1日 在包头大剧院举办“Hi Blues专场”； 2019年6月8日 参加北京“蓝调一派AllThatBlues音乐节“； 2019年7月6日 在北京江湖酒吧举办“以蓝会友”系列专场首场； 2019年7月－9月 MOJOHAND乐队2019全国巡演：广州－深圳－珠海－东莞－泉州－厦门－上海－郑州－天津－大连－沈阳－哈尔滨； 2019年8月4日 参加南京“蓝调一派”音乐节； 2019年8月14日 北京九霄俱乐部“蓝调之夜”专场，并接受有待电台专访； 2019年9月15日 江湖酒吧“以蓝会友”第二场之“吉他英雄会”； 2019年11月8日 北京樂空间“源声计划”蓝调&民谣不插电音乐会； 2019年12月22日 主办第二届北京蓝调芥末大会@江湖酒吧； 2019年12月31日－2020年1月6日 西南六站巡演：昆明－丽江－大理－南宁－海南－三亚； 2020年1月12日 “以蓝会友”第三场之“北京布鲁斯兄弟管乐大碰撞with JUNGLEHORNS” @江湖酒吧； 2020年7月16日 大连金石滩Hard Rock Hotel开幕演出； 2020年8月15日 “重归于蓝”北京专场@江湖酒吧； 2020年9月11日 北京清华大学新清华学堂Blues专场； 2020年9月12日 “以蓝会友”第四场&九乐队@江湖酒吧； 2020年10月8日 MOJOHAND同名原创专辑《MOJOHAND》首发专场@乐空间; 2020年11月2日 北京迷笛音乐学校“迷笛公开课”交流演出； 2020年10月15日 由广州开始拉开MOJOHAND乐队跨越50余城60场的新专辑全国巡演的序幕…...
口琴手必修：从入门到进阶的10条布鲁斯风格回转（Turnaround）乐句,2021-07-04,
沙发音乐Sofar，200个听众在大草地上随着口琴声雀跃,2021-07-04,
蓝网口琴私塾（北京、上海）新一期开始招生啦，大家来选择适合的班级吧,2021-07-10,（蓝调口琴课程会赠送口琴，报名无需携带口琴） ｜课程一周一次，一次90分钟，共6次课 ｜法定节假日停课休息 ｜班级人数5-10人 ｜课程详情请致电咨询：17310047335 （半音阶口琴课程需自带口琴） ｜课程一周一次，一次90分钟，共8次课 ｜法定节假日停课休息 ｜班级人数5-10人 ｜课程详情请致电咨询：17310047335 （蓝调口琴或者半音阶口琴） ｜我们为有专门需要的朋友准备了一对一口琴课程。 ｜课程详情请致电咨询：17310047335 持续招生中，具体课程安排、学费及更多活动详情请咨询万花筒老师。
舌堵技巧千万别这么练！越学越废！,2021-06-26,
阿根廷口琴演奏家Mariano Massolo正式加盟蓝调口琴网,2021-07-04,    
新课首发优惠 | 吉普赛爵士风格初级课程（蓝调口琴）,2021-07-10,
